Т,Y1,Y2,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,z2,Z3,Z4,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z17,Z18,Z19,Z20,Z21,Z26,Z27,Z28,Z29,Z30,Z32,Z50,Z60,Z61,Z62,Z63,Z64,Z73,Z83,Z85,Z86,Z87,Z88,Z89,Z90,Z91,Z92,Z93,Z94,Z95,Z98,Z99
1/1/2005,1486.333333,2.62,99.4,515,1838,2859,386,148.1,80.9,2.1,384.696,193.752,485.8,151.5,1254.3,4298.2,4373.1,11974,3094,309,7168,9615,1624,29278,38301,6817,2046,101.4,101.1,113.9,102.6,4353.9,65.3,4488,78.9,2.1,44.3,380.19,5.87,719.38,156.09,3099.72,1840,298.13,14555,13,549.4,653.23,27.85,67,6.1,8.3,7346,102.6,12.7,828,377.7,386,70.8,203.8,99.4,6.856157989,148.1,384.7,193.75,485.8,151.5,1254.3,4298.2,3094,309,7168,9615,1624,1486.33,632.76
2/1/2005,1486.333333,1.23,99.1,530,1832,2542,357.7,184.5,89.9,1.8,441.543,230.491,488.9,157.5,1281.5,4373.8,4552.5,14315,2811,335,7647,9653,1905,30703,35480,6989,1807,101,101.2,100.1,101.2,4179.9,68.5,4726,87.7,1.8,45.78,378.43,6.14,719.29,151.71,3175.78,1867.88,295.25,15362.5,13,598.29,653.97,27.73,66.9,6.1,8.3,7465,101.2,12.96,870,348.4,357.7,75.7,203.8,99.1,7.610962856,184.5,441.54,230.49,488.9,157.5,1281.5,4373.8,2811,335,7647,9653,1905,1486.33,632.76
3/1/2005,1486.333333,1.34,100,570,2210,2941,397.1,207.9,109.2,2.7,542.685,278.3,536.5,172.6,1317.3,4445.3,4577.9,15044,3359,336,7994,9672,2097,31750,37295,7016,1731,100.4,100.2,100,101.3,4300.6,69,4637,106.6,2.7,53.17,383.18,6.29,712.52,161.64,3281.05,1988,336.88,16235,13,598.97,595.46,27.54,67.4,5.8,8,8093,101.3,13.63,967,386.5,397.1,102.9,204.8,100,9.600036311,207.9,542.69,278.3,536.5,172.6,1317.3,4445.3,3359,336,7994,9672,2097,1486.33,632.76
4/1/2005,1692.666667,1.12,100.1,525,2811,3099,383.1,212.6,114.9,1.9,541.515,263.815,553.3,178.7,1353.9,4504.2,4721.1,12777,3807,337,9126,10491,2787,33275,38250,6948,2008,100.7,100.9,103.5,101.1,4462.7,70.8,3850,112.1,1.9,51.86,381.75,6.25,715.94,164.11,3259.83,1877,313,16080,13,608.22,607.14,27.81,67.9,5.6,7.6,8002,101.1,13.77,952,373.2,383.1,118.4,206.8,100.1,9.985616685,212.6,541.52,263.82,553.3,178.7,1353.9,4504.2,3807,337,9126,10491,2787,1692.67,632.76
5/1/2005,1692.666667,0.8,100.7,482,3258,3517,397.1,250.6,129.1,1.9,561.8,266.855,559.7,183.8,1378.8,4542.6,4849.8,11318,4336,347,9358,10547,3195,34244,40094,6745,1846,101.3,101.6,100.3,100.8,4577.5,72.5,3219,126,1.9,48.81,377.63,6.18,719.76,157.39,3225.38,1742.56,311.44,16750,13,590.79,658.66,27.94,68.5,5.4,7.3,8089,100.8,13.84,948,387.4,397.1,135.4,209.4,100.7,10.55637079,250.6,561.8,266.86,559.7,183.8,1378.8,4542.6,4336,347,9358,10547,3195,1692.67,632.76
6/1/2005,1692.666667,0.64,100.3,480,3608,3609,380.3,313.1,154.9,3.9,547.597,283.833,561.9,192.1,1398.3,4570.9,4965.2,11555,4312,342,9070,9959,3376,34236,43345,6402,1545,101.3,101.6,101.7,100.6,4677.7,76.3,2521,151.1,3.9,54.43,393.61,6.58,748,158.35,3448.05,1737.63,325.88,16395,13,619.08,698.71,28.47,68.7,5.4,7.3,8637,100.6,13.68,984,369.2,380.3,158.1,211.4,100.3,9.265573241,313.1,547.6,283.83,561.9,192.1,1398.3,4570.9,4312,342,9070,9959,3376,1692.67,817.75
7/1/2005,1948.333333,0.46,103.9,491,3542,3462,383.5,306.5,165.4,1.9,606.956,306.341,580.8,198.2,1401.3,4590.1,5280.5,11294,4362,341,9494,10794,3753,35459,43718,6210,1435,100.9,101.3,99.9,100.5,4915.4,71,1804,161.4,1.9,57.71,389.93,6.34,746.23,157.43,3584.46,1803.25,330.5,14470,13,680.96,708.34,28.53,68.9,5.3,7.2,8651,100.5,13.16,1053.97,371.4,383.5,257.6,212.2,103.9,10.53680336,306.5,606.96,306.34,580.8,198.2,1401.3,4590.1,4362,341,9494,10794,3753,1948.33,817.75
8/1/2005,1948.333333,-0.14,102.1,514,3273,3335,392,336.8,176.7,2.6,610.97,302.63,600.8,200.7,1343.9,4571.9,5397.9,11120,4855,350,9886,11295,4225,35195,43721,6237,1430,101.3,102.1,102,99.9,4974.3,78.5,2592,172.4,2.6,64.22,398.84,6.33,762.1,158.14,3674.02,1870.93,320.5,14999,13,737.6,642.48,28.46,69.1,5.3,7.1,8616,99.9,12.53,1180.05,379.9,392,419,211.8,102.1,10.8341532,336.8,610.97,302.63,600.8,200.7,1343.9,4571.9,4855,350,9886,11295,4225,1948.33,817.75
9/1/2005,1948.333333,0.25,103.3,639,2744,3133,386,350.3,179.2,4.4,609.9,304.95,615.2,200.8,1297.1,4586.6,5570.1,10018,5555,349,10803,12537,4802,36075,45151,6383,1501,100.8,101.4,100,100.3,5118.2,75,2907,174.9,4.4,62.98,413.94,6.36,771.9,159.31,3809.88,1846.13,321.69,13660,13,824.09,673.03,28.46,69,5.4,7.2,8829,100.3,12.33,1390.84,374,386,542.6,210.6,103.3,10.71571638,350.3,609.9,304.95,615.2,200.8,1297.1,4586.6,5555,349,10803,12537,4802,1948.33,817.75
10/1/2005,2076,0.55,98.2,814,2314,2973,407.5,332.4,169.6,2.8,619.556,326.83,638.9,200.6,1296.4,4621.2,5647.3,9940,5713,371,10987,12947,5062,35968,44489,6664,1673,101.2,101.7,94.8,100.6,5274.9,78,3113,165.4,2.8,58.53,429.53,6.89,790.91,176.29,3961.18,1942.75,336.88,12726,13,841.75,755.29,28.56,69,5.5,7.3,8701,100.6,11.68,1652.15,396.3,407.5,327.8,209.1,98.2,10.25087372,332.4,619.56,326.83,638.9,200.6,1296.4,4621.2,5713,371,10987,12947,5062,2076,817.75
