Z28,Z10,X17,X8
8.30,5.87,3094.00,2.10
8.30,6.14,2811.00,1.80
8.00,6.29,3359.00,2.70
7.60,6.25,3807.00,1.90
7.30,6.18,4336.00,1.90
7.30,6.58,4312.00,3.90
7.20,6.34,4362.00,1.90
7.10,6.33,4855.00,2.60
7.20,6.36,5555.00,4.40
7.30,6.89,5713.00,2.80
7.50,7.13,5469.00,3.60
7.70,7.80,4812.00,14.00
7.70,8.13,4443.00,1.80
7.90,8.48,4930.00,1.50
7.80,9.04,5499.00,3.00
7.60,10.92,5419.00,2.20
7.50,11.40,5476.00,2.20
7.20,9.25,5614.00,5.00
6.90,9.49,5674.00,2.10
6.50,10.23,5928.00,3.00
6.60,9.88,6215.00,5.10
6.70,9.76,5365.00,3.50
6.70,10.78,4343.00,4.60
6.90,11.03,4434.00,16.60
7.10,10.71,4604.00,2.90
7.20,11.48,4105.00,2.50
6.80,10.89,3926.00,4.00
6.40,11.16,4516.00,2.90
5.90,10.68,5570.00,2.80
5.80,10.76,5946.00,6.00
5.70,10.37,5915.00,3.10
5.60,9.99,6304.00,3.70
5.60,10.17,6011.00,6.00
5.60,10.69,5841.00,4.10
5.70,11.34,6223.00,5.90
6.10,11.06,7075.00,17.30
6.60,12.42,7470.00,3.20
7.10,13.44,6883.00,2.60
6.50,14.47,6313.00,4.40
6.00,13.02,6909.00,3.00
5.40,12.76,7488.00,2.90
5.60,12.64,8454.00,5.60
5.70,13.57,9620.00,3.90
5.80,11.56,9478.00,3.80
6.20,10.05,7390.00,5.80
6.60,9.08,5481.00,4.70
7.00,8.63,4160.00,5.80
7.80,9.26,3377.00,18.40
8.70,11.77,2201.00,3.10
9.40,15.35,3124.00,2.80
9.20,14.61,4181.00,4.50
8.80,13.54,5021.00,3.30
8.50,14.20,5417.00,3.00
8.30,14.71,6091.00,4.90
8.10,13.57,6776.00,4.10
7.90,14.51,6730.00,4.00
7.60,16.09,6798.00,5.20
7.70,16.27,6474.00,4.70
8.20,16.55,6152.00,5.80
8.20,17.08,6633.00,14.50
9.00,17.12,5986.00,3.10
8.50,15.38,6120.00,2.90
8.50,16.17,6350.00,3.50
8.10,16.87,6726.00,3.80
7.20,18.04,7009.00,3.10
6.70,18.49,6138.00,5.10
6.80,17.79,6177.00,3.10
6.70,17.86,6916.00,3.80
6.50,20.09,6421.00,4.50
6.70,22.66,6700.00,4.60
6.60,26.42,7498.00,5.90
7.00,28.77,7566.00,15.00
7.60,27.45,7963.00,2.60
7.40,28.33,8398.00,2.70
7.00,32.35,8662.00,4.00
7.10,37.87,9234.00,3.10
6.20,33.57,9444.00,2.90
6.00,32.43,8521.00,5.40
6.40,33.69,7726.00,3.60
6.00,37.18,8797.00,3.90
6.00,38.36,8834.00,5.50
6.20,31.81,8894.00,5.00
6.20,32.99,9424.00,6.50
6.00,30.88,9765.00,17.10
6.30,30.98,9693.00,3.10
6.20,32.51,10298.00,2.80
6.30,31.38,11505.00,3.90
5.60,29.95,11721.00,2.90
5.20,28.40,9841.00,3.10
5.20,29.58,9248.00,5.20
5.20,28.62,7914.00,4.20
5.00,29.32,10111.00,4.30
5.00,33.69,12685.00,5.10
5.10,33.36,11410.00,5.50
5.20,32.94,10576.00,7.20
5.10,31.71,10360.00,18.40
6.00,30.36,10358.00,3.60
5.80,29.67,10630.00,2.90
5.70,28.53,10723.00,3.90
5.60,25.80,9707.00,3.70
5.20,23.11,9208.00,3.40
5.40,22.16,9744.00,5.10
5.30,20.70,10629.00,4.20
5.20,22.98,11261.00,5.10
5.30,23.82,12096.00,6.80
5.50,22.54,11532.00,6.70
5.40,21.98,10392.00,7.60
5.60,20.73,11328.00,17.50
5.60,21.64,11604.00,4.80
5.60,23.39,11059.00,4.20
5.40,24.27,11992.00,5.00
5.30,22.65,12242.00,4.30
4.90,21.72,11955.00,4.60
4.90,21.77,12263.00,6.80
4.90,23.33,12348.00,5.80
4.80,23.07,11584.00,5.70
4.90,22.71,10836.00,7.40
5.10,22.65,11183.00,7.90
5.20,23.78,10215.00,7.90
5.30,29.09,10064.00,19.80
5.50,36.35,9391.00,6.20
5.80,35.05,9521.00,6.10
5.90,31.39,12800.00,6.30
5.80,28.05,14527.00,5.00
5.60,27.35,13648.00,4.70
5.30,28.22,14675.00,6.40
5.30,27.79,13961.00,5.50
5.30,31.38,13046.00,5.20
5.20,31.58,11429.00,7.00
5.50,31.86,13101.00,7.00
5.80,30.44,13051.00,7.80
5.80,31.58,11417.00,18.10
5.80,35.09,10344.00,5.50
5.80,37.37,8215.00,4.70
6.00,34.76,10466.00,5.40
5.90,34.74,12909.00,4.70
5.60,35.65,12980.00,4.40
5.40,35.77,14033.00,6.80
5.30,41.07,13949.00,5.70
5.20,41.01,12258.00,5.60
5.20,39.96,12926.00,6.70
5.40,35.86,13222.00,6.10
5.40,36.15,13633.00,7.30
5.30,32.65,12607.00,17.30
5.60,32.30,15004.00,4.30
5.60,33.37,15789.00,3.90
5.40,32.87,15177.00,4.90
5.30,32.85,13585.00,4.20
5.20,30.78,13459.00,4.30
5.10,31.59,13466.00,6.40
5.10,30.95,13024.00,5.40
4.90,32.36,13464.00,6.30
5.00,32.38,14830.00,6.70
5.00,31.43,15341.00,6.90
5.10,32.22,15860.00,7.10
5.10,30.47,17416.00,18.80
5.20,31.19,18173.00,5.00
5.00,30.58,18685.00,5.20
5.00,30.19,17459.00,5.50
4.90,32.44,17421.00,4.50
4.70,32.99,19445.00,3.50
4.70,33.31,23088.00,5.30
4.70,31.78,22572.00,5.00
4.60,31.89,21851.00,5.20
4.50,31.07,22277.00,6.30
4.70,30.93,24963.00,5.90
4.80,30.63,25536.00,6.80
4.80,31.65,22284.00,17.50
4.90,33.22,20727.00,4.20
4.90,33.48,21426.00,5.00
4.70,32.21,22804.00,5.60
4.70,31.23,22901.00,4.80
4.50,30.45,24164.00,4.60
4.40,30.90,23631.00,5.90
4.50,31.94,19973.00,6.20
4.30,36.08,20003.00,6.00
4.50,38.05,19650.00,6.00
4.60,36.42,20484.00,6.70
4.60,35.37,19301.00,7.90
4.60,34.54,20377.00,18.50
4.60,35.62,20960.00,5.00
4.60,36.86,20350.00,4.90
4.70,35.35,18214.00,5.50
5.80,36.47,10229.00,3.20
6.10,38.27,4095.00,3.80
6.20,39.42,12295.00,5.70
6.30,46.18,17033.00,5.70
6.40,63.49,17315.00,6.70
6.30,63.36,17329.00,7.90
6.30,60.60,16305.00,7.30
6.10,59.69,17042.00,9.40
5.90,58.78,18162.00,17.10
