T;Mon;Y1;Y2;X1;X2;X3;X4;X5;X6;X7;X9;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;z2;Z4;Z6;Z8;Z9;Z10;Z11;Z12;Z13;Z14;Z15;Z17;Z18;Z19;Z20;Z21;Z26;Z27;Z28;Z29;Z30;Z32;Z50;Z60;Z62;Z63;Z73;Z88;Z98;Z99
01.01.1999;1;300,3333333;8,38;96,5;454;1697;2566;283,3;28,5;14,1;101,7;61,02;121,8;28,7;510;1469,632203;469,4;77017;391;49,6;1156;1047;492;8261;13997;2495;993;102,6;100,9;103,6;108,4;453,7;827;14,1;11,0805;201,4990556;3,604666667;248,4076111;324,11;1434,11;1225,75;275,75;4078,25;60;45,31166667;69,1467;22,28473684;60,4;10,1;12,2;1167;108,4;96,92;84;277,7;67;177,3;1,82546468;28,7;300,3333333;290,23
01.02.1999;2;300,3333333;4,13;97,2;472;1832;2418;258,8;31,8;16,3;112,014;68,58;122,9;29,5;524,1665753;1505,821535;500,6;76038;408;54,2;1218;1089;505;9966;15989;2720;895,1;102,3;100,8;100,3;104,1;450,6;964;16,3;10,5345;207,2289;3,97795;261,7269;333,37;1413,72;1197,63;260;4383,38;60;54,9705;59,6804;22,91;61,1;10,4;14,6;1199;104,1;103,24;85,15;252,1;70;179,9;1,895853339;29,5;300,3333333;290,23
01.03.1999;3;300,3333333;2,79;97,7;501;2317;2532;299,2;36,5;20,5;140,244;84,63;134,3;32,4;536,9621918;1538,508674;514,2;72635;426;54,8;1289;1172;522;10986;16342;2966;846,5;103,2;102,2;100,5;102,8;471,3;902;20,5;12,8773913;211,6150455;3,8515;274,1391818;334,38;1380,1;1163,25;266,75;4893,5;60;79,41272727;55,7139;23,50047619;61,7;10;14,1;1385;102,8;107,58;122;291,4;93,5;181,2;2,366505238;32,4;300,3333333;290,23
01.04.1999;4;367,3333333;3,03;99,1;448;3066;2764;283,8;36,9;19,6;159,918;79,959;135,4;32,7;551,1287671;1574,698006;537,4;67686;447;54,7;1494;1363;542;11225;16347;3009;890,5;102,4;100,4;100,4;103;482,2;1091;19,6;15,467;219,8024545;3,928545455;278,8311364;285,51;1512,1;1228,5;259;4889,25;60;87,01545455;75,4029;24,72909091;62,3;9,6;13,4;1423;103;113,06;181,5;277,1;110,8;181;3,23339828;32,7;367,3333333;290,23
01.05.1999;5;367,3333333;2,22;100,1;414;3607;3087;289,1;41,4;22;124,644;70,876;138,9;32,8;564,8383562;1609,71994;552,6;63108;475;54;1547;1573;551;11653;16314;3083;818;103,5;102,6;102,1;102,2;518,8;982;22;15,83105263;212,7533889;4,060777778;274,3728889;333,93;1553,16;1347,4;253,75;5452,25;60;106,7488889;76,5215;24,45888889;62,9;9,1;12,7;1472;102,2;116,71;221;282,1;128,8;179,8;2,198301004;32,8;367,3333333;290,23
01.06.1999;6;367,3333333;1,91;100,3;395;4111;3235;279,7;52,8;27,5;130,788;96,88;142,2;36,9;579,0049315;1645,909272;543,4;61053;501;55;1841;1893;586;11823;17107;2963;798,5;102,6;101,6;100,3;101,9;553,7;970;27,5;16,20818182;200,3199048;3,840190476;273,082;316,97;1416,2;1322,31;255,5;4962,63;55;122,4371429;69,1459;24,28857143;63,3;8,8;12,3;1626;101,9;120,67;228,5;271,9;156,1;178,3;1,396047524;36,9;367,3333333;209,77
01.07.1999;7;457,6666667;2,82;106,2;413;3856;3155;284,2;56,2;29,3;152,397;77,408;145,8;39,1;592,7145205;1680,931206;540,5;58964;567;53,6;2515;2259;695;12291;17759;2877;842,8;103,6;102,6;103,1;102,8;581,5;1003;29,3;18,77772727;196,2921364;3,961636364;267,5303636;336,61;1675,25;1381,5;240,19;5441,25;55;135,9590909;91,8333;24,30304348;63,7;8,7;12,1;1618;102,8;126,51;249;276,2;191;177,1;3,085580622;39,1;457,6666667;209,77
01.08.1999;8;457,6666667;1,16;104,9;449;3530;3074;289,8;61,8;29,1;153,45;76,725;157,6;40,5;606,8810959;1717,120538;542,2;59147;626;56,8;2757;2508;742;12990;17582;2897;819,2;103,7;104,7;100,7;101,2;596;1038;29,1;20,43761905;199,5925;4,108454545;272,1038182;340,8;1672,21;1410,46;270,25;6058,13;55;108,7463636;99,0961;24,71047619;64,1;8,7;12;1608;101,2;121,03;205;281,2;307,9;176,6;3,104958375;40,5;457,6666667;209,77
01.09.1999;9;457,6666667;1,48;106;540;2961;2848;283,9;67,6;33;160,512;77,748;161,2;41,4;621,0476712;1753,30987;543,4;56155;707;56,1;3779;2973;994;13026;17138;3078;795,2;104,9;105,3;100,6;101,5;605,7;1243;33;22,84272727;210,6666364;4,177272727;295,8305909;384,91;1783,55;1491,45;271,63;6864,88;55;98,26;122,7992;25,45545455;64;8,8;12,1;1684;101,5;62,03;186;275,2;472,1;177,1;3,251326738;41,4;457,6666667;209,77
01.10.1999;10;482,3333333;1,37;109,7;730;2149;2535;301;66,5;30,9;182,35;88,57;167,1;41,7;634,7572603;1788,331805;586,7;54639;851;55,8;4613;3426;1182;12933;15719;3289;776,8;103,7;104,3;100,9;101,4;611,9;1351;30,9;22,24333333;259,3157143;4,515714286;351,7352381;397,86;1754,89;1495,5;258,13;7063,75;55;98,56047619;116,4942;25,72681818;63,8;8,9;12,4;1716;101,4;57,12;171;292,8;256,9;178,4;3,645223414;41,7;482,3333333;209,77
01.11.1999;11;482,3333333;1,23;106,9;963;1565;2299;295,9;72;29,9;200,792;92,47;170,2;42,3;648,9238356;1824,521137;602,1;53119;935;55,6;4795;3424;1131;13363;17447;3566;842,6;103,9;104,2;104,2;101,2;639,4;1351;29,9;24,23863636;249,9033333;4,386190476;370,6461905;402,3;1743,04;1479,13;246,69;7864;55;120,43;115,4416;26,308;63,6;9,1;12,6;1789;101,2;50,52;207;288,9;159,5;180,3;4,117454767;42,3;482,3333333;209,77
01.12.1999;12;482,3333333;1,26;103;1034;1583;2622;312,6;118,4;35,6;261,9;108;200;45,7;662,6334247;1859,543071;664,5;50869;1000;57,8;4640;3375;1245;13357;17541;3791;971,5;102,2;102,6;100,3;101,3;663,5;1319;35,6;25,157;246,3619048;4,475714286;381,5957143;450,49;1803,39;1580,88;234,63;8089,5;55;133,2095238;84,9403;26,7947619;63,5;8,9;12,4;2283;101,3;36,56;222,1;305,6;101;182,2;5,743659919;45,7;482,3333333;209,77
01.01.2000;1;509;2,33;102,6;447;1703;2666;302,9;46,1;21,6;194,14;82,795;170,3;39,8;676,8;1895,732403;687,5;43741;1114;54,2;4398;3187;1274;12899;17817;3833;970,1;103,7;102,7;114,5;102,3;714,6;1319;21,6;25,2215;261,8117647;4,756470588;406,6923529;494,23;1862,92;1635,51;260,38;8242;55;202,345;100,313;28,25333333;63,4;8,7;12,2;1830;102,3;28,93;315;296,6;68,8;183,8;3,94095092;39,8;509;209,77
01.02.2000;2;509;1,04;104,2;480;1853;2461;293,5;55,8;25,5;229,28;97,444;168,1;39,5;679,1;1931,921735;725,5;44864;1116;75,3;4301;3445;1321;13699;17768;3901;881,6;102,8;102,4;100,3;101;709,6;1531;25,5;27,02809524;279,2842857;4,877142857;480,1504762;709,28;1816,34;1670,65;258,88;8756,6;45;200,707619;99,8272;28,72428571;63,2;8,6;12,1;1839;101;25,11;319;286,1;73;185,1;4,589705078;39,5;509;209,77
01.03.2000;3;509;0,64;104,6;515;2305;2727;311,4;63,9;31,7;258,986;105,302;179,3;43,6;674,7;1965,776271;769;43565;1139;74,5;4322;3513;1337;13165;17386;3901;847;102,7;102,6;100,1;100,6;742;1660;31,7;27,2726087;263,3395455;4,662727273;442,1995455;586,1;1758,75;1588,25;254,38;10103,75;38;240,6613636;113,4146;28,45772727;64,1;8,2;11,4;2018;100,6;22,49;302;303,4;97,8;186;5,400431262;43,6;509;209,77
01.04.2000;4;565,6666667;0,89;101,6;461;3049;2871;294,5;64,5;32,1;235,72;96,56;177,8;44,2;676,3;2001,965603;776;39879;1192;69,8;4210;3707;1318;13371;18065;3853;932,2;102;102;100,3;100,9;768,4;1628;32,1;23,13611111;258,6355;4,6785;459,322;614,22;1706,66;1510,75;253,75;9897,5;33;240,396;182,3027;28,5952381;65;7,8;10,8;2039;100,9;19,95;452;287,5;112,6;186,5;4,866544546;44,2;565,6666667;209,77
01.05.2000;5;565,6666667;1,75;101,6;435;3590;3197;300,6;75,8;36,5;240,125;96,05;179,8;44,9;696,3;2036,987537;788,7;38674;1204;71;4400;3803;1326;13389;18521;3746;905,4;101,7;101,9;100,9;101,8;802,5;1566;36,5;27,47952381;251,6505;4,56;483,5695;585,17;1830,95;1471,5;275,38;9908,75;33;227,8375;176,6333;28,30631579;65,9;7,4;10,2;2101;101,8;19,4;432;293,4;130,8;186,7;5,089853483;44,9;565,6666667;209,77
01.06.2000;6;565,6666667;2,55;101,6;419;4007;3275;294,3;95,7;45;244,209;101,052;185,2;49,2;724,6;2073,176869;801,7;38718;1204;73,7;4293;3886;1400;13628;19272;3475;881;103;103,4;99,7;102,6;850,1;1616;45;29,76090909;260,3561905;4,552380952;511,0280952;650,29;1786,86;1446,25;268,81;9343,75;33;214,842381;222,3981;28,24095238;65,9;7,3;10,1;2294;102,6;20,15;390,95;286,2;158,6;186,7;5,069127913;49,2;565,6666667;278,07
